,id,full_text,created_at,favorite_count,retweet_count
41,1443362778836779008,RT @POTUS: My Build Back Better Agenda and the Bipartisan Infrastructure Deal are overwhelmingly supported by the American people. We are w…,Wed Sep 29 23:51:17 +0000 2021,0,3722
42,1443332006742568967,"The Bipartisan Infrastructure Deal and the Build Back Better Agenda will create good-paying jobs and lower costs for families. 

Together they will grow the economy for everybody.",Wed Sep 29 21:49:00 +0000 2021,23071,3373
43,1443286545608454153,"This is the moment to make sure all of us—not just the wealthy few at the top—are dealt in and share the benefits of a growing economy. This is our opportunity to not just build back, but build back better for all Americans.",Wed Sep 29 18:48:22 +0000 2021,21407,3187
44,1442984974328627203,"Our Build Back Better Agenda will strengthen our economy by lowering taxes on the working and middle class, and reducing the cost of child care, housing, and higher education.

We will grow our economy from the bottom up and the middle out.",Tue Sep 28 22:50:01 +0000 2021,15921,2362
45,1442965340653121537,"As my friend, American hero Representative John Lewis, reminded us shortly before he passed, 'Democracy is not a state. It is an act.’ This National Voter Registration Day, and every day, we are committed to defending, strengthening, and expanding the sacred right to vote.",Tue Sep 28 21:32:00 +0000 2021,27840,4337
46,1442918811116523521,"Last year, 55 of the largest corporations paid zero dollars in federal income taxes on over $40 billion of profits.

It’s time for big corporations to finally pay their fair share.",Tue Sep 28 18:27:07 +0000 2021,20046,2717
47,1442896187770564609,"We have the power to build the country we hope to leave to our children and grandchildren—and it starts at the ballot box.

On this National Voter Registration Day, check that your voter registration status is up to date at https://t.co/Hy8C4n0lUk.",Tue Sep 28 16:57:13 +0000 2021,9877,1674
48,1442617142222917633,"Today I got my COVID-19 booster shot—and just like my first and second dose, it was safe and easy. 

Get vaccinated. Together, can we save lives and beat this virus. https://t.co/gtNAQqmOoj",Mon Sep 27 22:28:23 +0000 2021,44880,3993
49,1442600939022602243,The wealthy don’t need another tax cut. Our Build Back Better agenda will create an economy that works for those who built America: the middle class.,Mon Sep 27 21:24:00 +0000 2021,22484,3212
50,1442581561300426756,We need to reward work in this country—not just wealth.,Mon Sep 27 20:07:00 +0000 2021,57967,5679
51,1442521593289138180,"Join @DrBiden and @TheDemocrats for a virtual town hall tonight to discuss our Build Back Better Agenda, upcoming elections, and what Democrats need to do to win in 2022. RSVP now→
https://t.co/AotPstgKgL",Mon Sep 27 16:08:43 +0000 2021,4774,835
52,1442495747329560576,RT @POTUS: I’ll be getting my COVID-19 booster shot — and I encourage everyone who’s eligible to get theirs as well. https://t.co/l6Gmo0G8OO,Mon Sep 27 14:26:01 +0000 2021,0,2508
53,1442272522775400448,"Over 182 million Americans have already done the right thing and are fully vaccinated as of today.  

To the other 70 million eligible Americans who have yet to get their first shot: get vaccinated. It can save your life. https://t.co/V5pz14zBQP",Sun Sep 26 23:39:00 +0000 2021,14551,2275
54,1442255280109195264,RT @POTUS: The families of our fallen men and women in uniform understand the true and painful price of freedom — coping with loss and unsp…,Sun Sep 26 22:30:29 +0000 2021,0,3461
55,1442220684407676929,"Millionaires and billionaires are paying a lower tax rate than teachers and firefighters. We’re going to restore fairness to the tax code, give working people a much-needed tax cut, and make the investments that will grow our economy for years to come.",Sun Sep 26 20:13:00 +0000 2021,53341,7342
56,1442184451362988034,"Our Build Back Better Agenda will cut taxes for the middle class, lower costs for working families, create more jobs, and sustain economic growth for years to come. 

And the most important part? No one making under $400,000 will pay a penny more in taxes.",Sun Sep 26 17:49:02 +0000 2021,20580,3357
